name,type,db,start,offset,size,read_allow,write_allow,frequency,group
看门狗,bool,889,0,0,1,TRUE,FALSE,500,1
18#有钢信号,bool,889,0,1,1,TRUE,FALSE,500,1
炉号,dint,889,4,0,4,TRUE,FALSE,500,1
定尺,dint,889,8,0,4,TRUE,FALSE,500,1
流号（末架）,int,889,36,0,2,TRUE,FALSE,500,1
尾钢长度（热检）,int,889,38,0,2,TRUE,FALSE,500,1
轧制规格,real,889,52,0,4,TRUE,FALSE,500,1
尾钢长度（激光）,real,889,56,0,4,TRUE,FALSE,500,1
轧前温度,real,889,60,0,4,TRUE,FALSE,500,1
1流修正值,real,889,64,0,4,TRUE,FALSE,500,1
2流修正值,real,889,68,0,4,TRUE,FALSE,500,1
3流修正值,real,889,72,0,4,TRUE,FALSE,500,1
4流修正值,real,889,76,0,4,TRUE,FALSE,500,1
5流修正值,real,889,80,0,4,TRUE,FALSE,500,1
6流修正值,real,889,84,0,4,TRUE,FALSE,500,1
7流修正值,real,889,88,0,4,TRUE,FALSE,500,1
8流修正值,real,889,92,0,4,TRUE,FALSE,500,1
1流炼钢反馈重量,real,889,96,0,4,TRUE,FALSE,500,1
2流炼钢反馈重量,real,889,100,0,4,TRUE,FALSE,500,1
3流炼钢反馈重量,real,889,104,0,4,TRUE,FALSE,500,2
4流炼钢反馈重量,real,889,108,0,4,TRUE,FALSE,500,2
5流炼钢反馈重量,real,889,112,0,4,TRUE,FALSE,500,2
6流炼钢反馈重量,real,889,116,0,4,TRUE,FALSE,500,2
7流炼钢反馈重量,real,889,120,0,4,TRUE,FALSE,500,2
8流炼钢反馈重量,real,889,124,0,4,TRUE,FALSE,500,2
米重,real,889,128,0,4,TRUE,FALSE,500,2
尾钢设定,real,889,132,0,4,TRUE,FALSE,500,2
1#设定速度,real,889,136,0,4,TRUE,FALSE,500,2
2#设定速度,real,889,140,0,4,TRUE,FALSE,500,2
3#设定速度,real,889,144,0,4,TRUE,FALSE,500,2
4#设定速度,real,889,148,0,4,TRUE,FALSE,500,2
5#设定速度,real,889,152,0,4,TRUE,FALSE,500,2
6#设定速度,real,889,156,0,4,TRUE,FALSE,500,2
7#设定速度,real,889,160,0,4,TRUE,FALSE,500,2
8#设定速度,real,889,164,0,4,TRUE,FALSE,500,2
9#设定速度,real,889,168,0,4,TRUE,FALSE,500,2
10#设定速度,real,889,172,0,4,TRUE,FALSE,500,2
11#设定速度,real,889,176,0,4,TRUE,FALSE,500,2
12#设定速度,real,889,180,0,4,TRUE,FALSE,500,3
13#设定速度,real,889,184,0,4,TRUE,FALSE,500,3
14#设定速度,real,889,188,0,4,TRUE,FALSE,500,3
15#设定速度,real,889,192,0,4,TRUE,FALSE,500,3
16#设定速度,real,889,196,0,4,TRUE,FALSE,500,3
17#设定速度,real,889,200,0,4,TRUE,FALSE,500,3
18#设定速度,real,889,204,0,4,TRUE,FALSE,500,3
1#辊径,real,889,208,0,4,TRUE,FALSE,500,3
2#辊径,real,889,212,0,4,TRUE,FALSE,500,3
3#辊径,real,889,216,0,4,TRUE,FALSE,500,3
4#辊径,real,889,220,0,4,TRUE,FALSE,500,3
5#辊径,real,889,224,0,4,TRUE,FALSE,500,3
6#辊径,real,889,228,0,4,TRUE,FALSE,500,3
7#辊径,real,889,232,0,4,TRUE,FALSE,500,3
8#辊径,real,889,236,0,4,TRUE,FALSE,500,3
9#辊径,real,889,240,0,4,TRUE,FALSE,500,3
10#辊径,real,889,244,0,4,TRUE,FALSE,500,3
11#辊径,real,889,248,0,4,TRUE,FALSE,500,3
12#辊径,real,889,252,0,4,TRUE,FALSE,500,3
13#辊径,real,889,256,0,4,TRUE,FALSE,500,4
14#辊径,real,889,260,0,4,TRUE,FALSE,500,4
15#辊径,real,889,264,0,4,TRUE,FALSE,500,4
16#辊径,real,889,268,0,4,TRUE,FALSE,500,4
17#辊径,real,889,272,0,4,TRUE,FALSE,500,4
18#辊径,real,889,276,0,4,TRUE,FALSE,500,4
棒一变棒三定尺,bool,889,0,2,1,TRUE,FALSE,500,4
轧钢启用倍尺,bool,889,0,3,1,TRUE,FALSE,500,4
触发信号,bool,889,0,3,1,TRUE,FALSE,500,4
取样标志,int,889,40,0,2,TRUE,FALSE,500,4
